route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
4,9914:9-7-127,STAN-S1-4_13544971,"Houd. Porte Sud",,0,405,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544972,"Houd. Porte Sud",,0,404,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544973,"Houd. Porte Sud",,0,413,9914$STAN-67$23,,
1,9914:5-7-127,STAN-S1-0_53553607,"Essey Mouzimpré",,0,115,9914$STAN-61$1,,
4,9914:9-7-127,STAN-S1-4_13544974,"Houd. Porte Sud",,0,403,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544975,"Houd. Porte Sud",,0,403,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544976,"Houd. Porte Sud",,0,407,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544977,"Houd. Porte Sud",,0,409,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544978,"Houd. Porte Sud",,0,411,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544979,"Houd. Porte Sud",,0,404,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544981,"Houd. Porte Sud",,0,401,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544983,"Houd. Porte Sud",,0,407,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544984,"Houd. Porte Sud",,0,409,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544985,"Houd. Porte Sud",,0,403,9914$STAN-67$23,,
1,9914:5-7-127,STAN-S1-0_53553608,"Essey Mouzimpré",,0,116,9914$STAN-61$1,,
4,9914:9-7-127,STAN-S1-4_13544986,"Houd. Porte Sud",,0,411,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544987,"Houd. Porte Sud",,0,406,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544988,"Houd. Porte Sud",,0,402,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544989,"Houd. Porte Sud",,0,408,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544990,"Houd. Porte Sud",,0,410,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544991,"Houd. Porte Sud",,0,404,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544992,"Houd. Porte Sud",,0,412,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544993,"Houd. Porte Sud",,0,405,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544994,"Houd. Porte Sud",,0,414,9914$STAN-67$23,,
4,9914:9-7-127,STAN-S1-4_13544995,"Houd. Porte Sud",,0,401,9914$STAN-67$23,,
1,9914:1-7-127,STAN-S1-0_13553603,"Essey Mouzimpré",,0,103,9914$STAN-61$1,,
1,9914:5-7-127,STAN-S1-0_53553609,"Essey Mouzimpré",,0,105,9914$STAN-61$1,,
4,9914:9-7-127,STAN-S1-4_13544996,"Houd. Porte Sud",,0,407,9914$STAN-67$23,,
